Ant 
    Name  Pd  Pf  Prec  F1   G  AUC
   xalan  71  30    38  49  70   75
   log4j  66  29    36  47  68   73
   jedit  64  29    36  46  67   73
  lucene  59  25    38  46  66   73
     poi  60  28    35  44  65   73
     ivy  51  23    36  42  62   71
   camel  48  26    32  38  59   66
velocity  39  29    26  31  53   56
  xerces  36  27    25  30  51   57

Camel 
    Name  Pd  Pf  Prec  F1   G  AUC
     ant  41  27    27  33  54   61
     poi  42  30    26  32  54   59
velocity  42  30    26  32  54   56
  lucene  36  21    30  33  53   61
   xalan  40  28    26  31  53   57
   jedit  35  22    28  31  52   57
   log4j  36  23    27  31  52   60
     ivy  34  25    25  29  50   56
  xerces  37  30    23  28  50   55

Ivy 
    Name  Pd  Pf  Prec  F1   G  AUC
   log4j  58  26    30  40  65   69
     ant  57  28    29  39  64   71
   xalan  55  28    28  37  63   68
  lucene  49  28    26  34  59   65
   jedit  43  22    28  34  58   64
     poi  47  28    25  33  58   66
   camel  46  27    25  32  57   64
velocity  43  29    22  30  55   59
  xerces  36  29    20  26  51   57

Jedit 
    Name  Pd  Pf  Prec  F1   G  AUC
     ant  68  29    33  44  69   76
   log4j  64  27    32  43  68   74
   xalan  61  30    29  39  65   71
   camel  58  28    29  39  64   71
  lucene  59  30    29  39  64   71
     poi  51  26    29  37  61   69
     ivy  48  24    29  36  60   69
  xerces  49  27    27  34  59   66
velocity  24  25    16  20  42   48

Log4j 
    Name  Pd  Pf  Prec  F1   G  AUC
  lucene  53  23    76  63  64   67
     poi  57  26    74  64  64   70
   jedit  56  28    73  63  63   66
   xalan  53  29    71  60  61   63
     ant  49  28    70  58  59   63
   camel  51  29    70  59  59   65
  xerces  45  25    70  54  57   63
     ivy  36  23    68  48  53   60
velocity  38  26    66  49  53   59

Lucene 
    Name  Pd  Pf  Prec  F1   G  AUC
     poi  57  28    71  63  64   69
     ant  50  25    71  58  61   66
   jedit  52  28    70  60  61   66
   log4j  50  27    69  58  60   65
     ivy  47  24    70  56  59   66
  xerces  47  26    69  56  59   63
   xalan  48  30    66  55  57   62
   camel  44  27    67  53  56   64
velocity  34  29    59  43  49   56

Poi 
    Name  Pd  Pf  Prec  F1   G  AUC
   log4j  57  26    69  62  64   69
  lucene  54  26    67  60  62   71
     ivy  45  27    63  52  57   64
     ant  43  26    63  52  56   65
   jedit  45  28    62  52  56   65
   xalan  45  28    62  52  56   65
   camel  41  30    59  49  54   60
  xerces  33  29    54  41  48   56
velocity  19  24    45  26  37   47

Velocity 
    Name  Pd  Pf  Prec  F1   G  AUC
 log4j  49  29    69  58  59   64
   ant  46  27    69  55  57   62
   ivy  41  26    68  51  55   61
xerces  43  28    67  52  55   59
lucene  40  29    64  49  53   60
 jedit  38  27    65  48  52   59
   poi  32  26    62  43  49   56
 camel  32  27    61  42  48   55
 xalan  30  28    59  40  46   53

Xalan 
    Name  Pd  Pf  Prec  F1   G  AUC
   jedit  45  26    66  54  57   63
     poi  41  28    63  49  54   59
     ivy  37  22    66  47  53   63
     ant  37  27    61  46  52   60
  lucene  36  28    60  45  51   56
  xerces  38  30    59  46  51   52
   log4j  33  24    61  43  49   55
   camel  30  24    60  40  48   56
velocity  28  27    54  37  44   51

Xerces 
    Name  Pd  Pf  Prec  F1   G  AUC
   log4j  42  26    50  46  55   60
   xalan  45  30    49  47  55   60
     ant  38  26    48  43  53   56
   jedit  38  25    49  43  53   56
     poi  39  29    47  43  53   56
     ivy  32  22    48  38  50   56
velocity  34  28    43  38  49   55
  lucene  23  15    50  32  44   57
   camel  24  20    43  31  43   54

